handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
ap-family-paco-rabanne-lady-million-fabulous,VARIANT,,,,,,,,,,125.00,,,,,,,2,FALSE,,,436cf178-8351-48dc-b046-28b07eb9bba3,,,,,,,,,1.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-lady-million-fabulous,VARIANT,,,,,,,,,,140.00,,,,,,,2,FALSE,,,c368cfb3-c4d7-4cf4-b207-f79a8d71d25c,,,,,,,,,2.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-lady-million-fabulous,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/6219c7d6-c8b8-4ccf-87d9-880524875cc2.webp,Paco Rabanne- Lady Million Fabulous Intense EDP Spray 1.7 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-lady-million-fabulous,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/db9fccdf-6555-411f-85b4-34fdab1364b7.webp,Paco Rabanne-Lady Million Fabulous Intense EDP Spray 2.7 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-la-bomba,PRODUCT,La Bomba,TRUE,An authentic men's fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-him;woody,all-fragrances,,,,Carolina Herrera,134.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,1.7 oz · Eau de Parfum;2.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-la-bomba,VARIANT,,,,,,,,,,134.00,,,,,,,2,FALSE,,,bb00ef84-1e72-41c7-97e8-2a5cd691ce2b,,,,,,,,,1.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-la-bomba,VARIANT,,,,,,,,,,175.00,,,,,,,4,FALSE,,,97c02542-ffe1-489c-a2d1-4f7749d62458,,,,,,,,,2.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-la-bomba,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/884743a7-02c0-4b5c-9b9a-3b66db4f2b17.webp,Carolina Herrera - La Bomba EDP SP 1.7 product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-la-bomba,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/8a1eba4e-c8d9-43de-9f55-aadc5d6ad39d.webp,Carolina Herrera - La Bomba EDP SP 2.7 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-givenchy-organza,PRODUCT,Organza,TRUE,An authentic women’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-her;floral,all-fragrances,,,,Givenchy,68.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,1.0 oz · Eau de Parfum;3.4 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
